OrderID,OrderDate,CustomerName,Segment,City,State,Region,Category,SubCategory,Quantity,Sales,Discount,Profit
29,12-06-2024,Kenneth Stuart,Corporate,Port Amyshire,Oklahoma,South,Office Supplies,Binders,4,1294.39,0.3,193.56
30,22-04-2024,Donald Sheppard DDS,Consumer,Orrshire,North Carolina,West,Office Supplies,Binders,7,1127.1,0.3,184.12
31,29-07-2023,Cassandra Gardner,Consumer,New Nicole,Colorado,East,Office Supplies,Paper,8,1885.06,0,127.39
32,10-10-2020,Ebony Whitaker,Consumer,Mariamouth,Mississippi,South,Technology,Copiers,1,327.92,0.1,22.54
33,03-05-2025,Kristy Richards,Consumer,North Nataliemouth,Missouri,East,Office Supplies,Paper,8,1645.89,0.2,177.85
34,18-12-2024,Anthony Miller,Home Office,Jordanfort,Texas,South,Furniture,Tables,6,403.16,0,65.91
35,21-04-2023,Abigail Brown,Home Office,Burnsbury,California,East,Furniture,Bookcases,5,1991.58,0.1,264.95
36,20-12-2020,Angela Perez,Home Office,Beckchester,California,South,Furniture,Furnishings,9,1114.81,0.3,197.72
37,26-12-2022,Jennifer Rodriguez,Corporate,South Barbara,South Carolina,East,Technology,Accessories,2,287.42,0.2,17.99
38,13-03-2023,Linda Graham,Home Office,North Andrew,Nevada,West,Technology,Phones,1,1958.83,0,303.89
39,16-03-2023,Gloria Evans,Corporate,Lake Heathertown,Pennsylvania,South,Technology,Copiers,8,976.26,0.2,207.33
40,09-07-2022,Todd Olsen,Home Office,New Rodneyshire,Delaware,Central,Furniture,Furnishings,3,1946.4,0.1,519.1
41,07-10-2020,Daniel Sanders,Home Office,Lewismouth,Nebraska,East,Furniture,Tables,10,1142.19,0,303.7
42,22-02-2022,Robert Webb,Corporate,Adkinsfurt,Kentucky,West,Technology,Computers,6,1809.28,0.2,290.48
43,25-11-2023,Dr. Elizabeth Harvey,Consumer,Lake Joseph,New York,South,Technology,Phones,4,575.47,0,57.55
44,22-08-2022,Jonathan Cooper,Consumer,Alberttown,Washington,West,Office Supplies,Labels,4,27.99,0,5.22
45,22-12-2024,Mark Brown,Consumer,New Troyside,Connecticut,West,Technology,Copiers,10,1221.92,0.3,164.63
46,12-04-2023,Donald Lewis,Corporate,North Timothytown,Pennsylvania,West,Furniture,Tables,10,551.76,0.1,88.43
47,01-03-2022,Paul Macdonald,Consumer,East Ericberg,Idaho,South,Technology,Computers,1,1483.22,0,87.1
48,08-06-2021,Dillon Taylor,Consumer,Lewisfort,Rhode Island,East,Furniture,Furnishings,2,854.33,0.3,173.1
49,21-08-2023,Alexandra Smith,Home Office,South Adrianfort,Alabama,West,Furniture,Furnishings,8,1842.33,0,472.62
50,22-05-2021,James Larson,Consumer,South Matthewville,Nebraska,East,Furniture,Tables,4,1559.53,0.3,303.7
51,25-10-2020,Tracy Lopez,Consumer,Jasonstad,Alabama,Central,Technology,Copiers,6,1826.34,0.1,122.51
52,10-09-2025,Matthew Arias,Consumer,Christinatown,Oklahoma,West,Technology,Accessories,2,231.44,0.2,37.62
53,23-01-2022,Joseph Sanchez,Home Office,West Theodoreborough,Virginia,East,Technology,Copiers,4,376.92,0.3,13.99
54,01-08-2021,Tracy Petty,Home Office,Reedburgh,Delaware,Central,Furniture,Chairs,8,1530.48,0,227.84
55,09-03-2021,Tammy Brown,Home Office,Lake Mark,Oklahoma,Central,Technology,Phones,1,1593,0,380.03
56,07-05-2025,Donna Barker,Home Office,North Joshuafurt,New Hampshire,East,Furniture,Tables,9,1434.52,0,353.23
57,01-10-2021,Heather Perez,Consumer,Martinezburgh,South Carolina,South,Office Supplies,Pens,9,976.14,0,80.72
58,13-04-2025,Christine Nelson,Consumer,North Henry,Iowa,Central,Office Supplies,Labels,2,1585.98,0.1,355.16
59,21-04-2025,Heather Perez,Consumer,Pruittstad,Massachusetts,South,Furniture,Chairs,5,1529.29,0.1,293.09
60,18-09-2022,Carrie Mckee,Consumer,Tiffanyton,Connecticut,Central,Furniture,Furnishings,2,773.39,0,138.51
61,05-11-2020,Sherry Ross,Consumer,North John,Florida,Central,Furniture,Bookcases,5,1917.23,0,193.09
62,24-07-2023,Elizabeth Murphy,Consumer,Port Mariechester,Iowa,Central,Furniture,Tables,9,271.45,0.1,39.89
63,02-09-2022,Austin Solis,Home Office,South Sheilafurt,North Carolina,South,Technology,Copiers,3,1064,0.3,126.76
64,18-06-2022,John Brock,Corporate,West Taraton,New Mexico,Central,Furniture,Bookcases,5,503.42,0.1,119.7
65,13-03-2023,Antonio Williams,Consumer,North Emily,Missouri,South,Furniture,Bookcases,8,1784.03,0,203.24
66,26-07-2021,Christian Garcia,Consumer,East Emilyland,Maryland,West,Office Supplies,Paper,5,83.27,0.1,4.54
67,03-01-2024,Marcus Benjamin,Consumer,South Tinafort,California,East,Furniture,Bookcases,7,686.73,0.1,173.14
68,11-05-2022,David Williamson,Consumer,Malloryberg,Colorado,Central,Furniture,Bookcases,6,1008.06,0,76.44
69,13-05-2023,Alan Lee,Consumer,Joneston,New York,South,Furniture,Bookcases,5,787.06,0.3,112.21
70,03-07-2023,Jonathan Garcia,Consumer,Lake Pamelastad,Maine,East,Furniture,Chairs,6,510.75,0.3,58.9
71,07-09-2024,Veronica Fuller,Corporate,Danielland,Delaware,South,Technology,Phones,10,239.01,0.3,8.98
72,07-10-2023,James Compton,Home Office,Adamsside,Colorado,West,Furniture,Bookcases,7,1010.35,0.3,66.52
73,10-08-2022,Sarah Blair,Consumer,Fernandezborough,Arkansas,East,Office Supplies,Pens,7,416.86,0.1,70.56
74,19-05-2025,Jessica Peters,Home Office,New Jamesshire,Wyoming,West,Office Supplies,Pens,2,1386.46,0.3,214.99
75,15-02-2023,Angela Burns,Corporate,Port Kristopher,Alabama,West,Office Supplies,Labels,4,604.95,0.1,30.7
76,14-03-2025,Kevin Brown,Corporate,Candiceburgh,Georgia,Central,Technology,Phones,10,1219.94,0.1,75.47
77,20-02-2024,Thomas Day,Corporate,North Jillian,Iowa,South,Office Supplies,Labels,8,552.76,0.3,98.02
78,29-12-2022,Daniel Cole,Home Office,South Randy,Minnesota,West,Office Supplies,Paper,5,1482.56,0.1,244.54
79,10-01-2024,Kathy Shepherd,Consumer,Baxterton,New Jersey,West,Office Supplies,Labels,7,1707.33,0.2,142.35
80,03-09-2022,Martin Robertson,Home Office,North Michael,Texas,East,Technology,Computers,1,586.5,0.2,88.02
81,24-04-2023,Ariana Cook,Consumer,East Tyler,Indiana,East,Furniture,Furnishings,4,128.86,0.2,16.28
82,26-08-2021,Keith Hall,Home Office,Carlaside,New Jersey,East,Office Supplies,Pens,3,1106.95,0.1,131.65
83,22-06-2021,Robert Graham,Corporate,Charlesborough,Iowa,East,Furniture,Tables,4,1740.36,0.3,284.46
84,15-11-2022,Kimberly Martinez,Corporate,Russellborough,Ohio,South,Furniture,Chairs,3,326.13,0.1,17.16
85,02-01-2024,Patrick Smith,Home Office,New Jeanneland,Wisconsin,South,Office Supplies,Labels,8,1185.44,0.1,143.61
86,20-04-2021,Leah Russell,Home Office,Angelafurt,North Carolina,West,Technology,Phones,7,209.12,0.1,38.99
87,11-10-2024,Jill Kennedy,Consumer,Huntermouth,Delaware,Central,Technology,Computers,7,1193.93,0,279.68
88,02-01-2023,Michael Page,Corporate,Vickiton,New Hampshire,South,Furniture,Furnishings,10,277.49,0.2,14.53
89,29-07-2024,Kristina May,Corporate,Lindaside,Connecticut,East,Technology,Accessories,2,102.12,0.3,18.46
90,08-07-2023,Gregory Huang,Consumer,East Angelaburgh,New Mexico,South,Furniture,Tables,6,1368.1,0.2,254.27
91,04-04-2025,Marie Moore,Home Office,Jessicabury,Nebraska,West,Office Supplies,Pens,5,1021.27,0.3,159.82
92,16-04-2025,Dwayne Cole,Consumer,Watsontown,Massachusetts,West,Office Supplies,Pens,4,1581.74,0.1,322.97
93,18-02-2025,Karen Wilson,Corporate,East Rebeccaview,Arizona,West,Furniture,Chairs,6,382.23,0.3,60.04
94,29-03-2023,Sean Santiago,Corporate,North Brianland,Maine,West,Furniture,Bookcases,7,1568.52,0,96.32
95,31-03-2021,James Allison,Consumer,North Joanfort,New Jersey,Central,Office Supplies,Pens,1,1601.16,0.1,74.73
96,13-06-2025,Nancy Bright,Consumer,Lake Jasonhaven,Florida,East,Office Supplies,Labels,5,1395.52,0.1,338.13
97,12-07-2022,Melissa Reed,Home Office,Paulhaven,Indiana,Central,Furniture,Furnishings,9,395.97,0.3,82.59
98,28-07-2022,Joseph Li,Corporate,West Ashleyfurt,Connecticut,East,Furniture,Furnishings,9,1168.48,0.3,191.4
99,26-02-2023,Michael Sanders,Home Office,Lake Michelle,Utah,Central,Office Supplies,Paper,7,512.69,0.3,69.09
100,15-03-2022,Cory Mejia,Home Office,Robertburgh,South Dakota,West,Office Supplies,Paper,2,567.73,0.1,61.84
101,07-08-2021,Tiffany Rice,Consumer,Ryanville,Delaware,Central,Furniture,Chairs,2,400.56,0.1,80.08
102,29-05-2025,Jerry Steele,Corporate,South Donnaborough,Georgia,South,Furniture,Furnishings,2,829.2,0,211.06
103,08-09-2025,Michael Tran,Home Office,Alvarezfort,Kansas,Central,Office Supplies,Labels,10,144.03,0.2,19.23
104,06-04-2024,William Trujillo,Corporate,Ronaldborough,Virginia,West,Furniture,Tables,5,1706.28,0.1,433.06
105,28-05-2025,Bryan Brooks,Consumer,Fletcherstad,South Carolina,South,Office Supplies,Labels,3,1106.33,0.3,39
106,15-03-2022,Judith Williams,Corporate,North Andrew,Nevada,Central,Office Supplies,Pens,5,1750.96,0.2,109.92
107,28-06-2021,Daniel Clark,Home Office,South Louisview,Iowa,East,Furniture,Chairs,8,212.25,0.1,25.24
108,23-11-2020,Joseph Bennett,Consumer,Angelaport,Oklahoma,South,Technology,Computers,9,1728.44,0.1,179.02
109,12-10-2023,Cody Jones,Consumer,Williambury,Vermont,Central,Technology,Phones,7,1034.95,0.2,68.46
110,29-08-2021,Michelle Pope,Consumer,Donaldton,Iowa,South,Technology,Phones,7,828.67,0.3,117.75
111,04-11-2023,William Nelson,Consumer,East Autumnborough,Oregon,Central,Furniture,Furnishings,3,1579.34,0.1,172.01
112,16-06-2023,Christopher Ryan,Home Office,East Corey,Michigan,West,Furniture,Chairs,6,1063.99,0,255.42
113,28-04-2022,Donna Cameron,Corporate,New Lindaton,Connecticut,West,Technology,Computers,2,1586.37,0.2,310.94
114,26-02-2022,Keith Carlson,Consumer,Hunterside,Arkansas,Central,Office Supplies,Binders,10,452.89,0.3,46.16
115,07-09-2021,Sarah Brown,Consumer,Port Heatherside,Michigan,Central,Technology,Copiers,9,1349.94,0.1,208.83
116,10-02-2023,Mark Young,Corporate,South Brittanymouth,Kentucky,West,Furniture,Bookcases,10,1293.16,0.3,84.46
117,01-06-2023,James Rivera,Corporate,Port Carriemouth,Indiana,South,Furniture,Bookcases,7,1175.01,0.2,244.19
118,26-07-2024,Cynthia Cook,Home Office,New Ethanville,New Mexico,South,Technology,Accessories,9,1914.72,0.1,424.26
119,02-11-2020,Eric Boyd,Consumer,Josephport,North Dakota,South,Office Supplies,Binders,3,73.05,0.1,14.92
120,23-12-2024,Randy Nelson,Corporate,East Mariamouth,Hawaii,West,Furniture,Furnishings,6,1051.88,0,291.4
121,04-04-2023,Diana Wright,Corporate,Port Cheyenne,New Hampshire,East,Office Supplies,Binders,7,1194.21,0.2,285.19
122,25-10-2020,Anna Brown,Home Office,West Nataliestad,Arkansas,Central,Technology,Phones,10,904.75,0.3,99.53
123,11-01-2022,Anthony Douglas,Home Office,West Stephanie,Alaska,Central,Furniture,Tables,7,1871.61,0.2,192.55
124,07-03-2025,James Conrad,Consumer,North Paula,Iowa,East,Furniture,Tables,5,29.04,0.3,4.44
125,30-08-2025,Katelyn Anderson,Corporate,Pittmanville,Arizona,Central,Technology,Computers,7,1349.67,0.3,275.45
126,15-01-2022,Johnny Ramos,Corporate,Allenchester,California,Central,Furniture,Bookcases,3,843.6,0.1,156.86
127,19-04-2024,Kyle Gibson,Corporate,South Meganview,Wyoming,South,Furniture,Tables,7,116.38,0.1,25.9
128,01-10-2022,Allison Andrade,Corporate,Andrewfurt,Tennessee,East,Office Supplies,Paper,5,1932.17,0,165.78
129,13-09-2025,Nicole Gould,Consumer,South Daisy,Alabama,South,Office Supplies,Pens,8,1504.61,0,183.32
130,05-02-2024,Megan Turner,Consumer,South Gabrielle,Illinois,South,Office Supplies,Labels,6,466.74,0.2,94.79
131,01-02-2025,David Hayes,Corporate,Chambersfort,Rhode Island,South,Technology,Computers,10,1993.93,0,187.69
132,13-12-2024,Matthew Norris,Consumer,West Wayne,Arkansas,West,Office Supplies,Labels,5,714.96,0,170.05
133,25-03-2025,Andre Kelly,Home Office,Williamsfurt,Arizona,West,Office Supplies,Labels,10,445.55,0.2,69.92
134,21-07-2022,Bethany Wiley,Corporate,Mckayview,Alaska,South,Furniture,Bookcases,3,92.3,0,21.82
135,28-06-2025,Christy Jones,Home Office,North Justin,South Carolina,Central,Technology,Accessories,6,540.48,0.3,73.5
136,27-06-2022,Randy Johnson,Consumer,Taraton,Mississippi,South,Office Supplies,Labels,6,1274.85,0.3,247.23
137,01-12-2021,Monica Bailey,Consumer,Campbellside,Kansas,Central,Furniture,Bookcases,3,72.36,0,15.35
138,31-07-2025,Christina Dickson,Corporate,Gutierrezside,New Jersey,South,Furniture,Chairs,6,1561.64,0.1,82.93
139,15-03-2023,Robert Lee,Corporate,Port Scott,Georgia,West,Furniture,Bookcases,4,654.06,0.2,67.59
140,12-01-2022,Levi Moore,Consumer,Jordanside,Nevada,East,Furniture,Chairs,4,812.58,0,223.55
141,02-10-2021,Anna Mills,Corporate,Ewingshire,Florida,East,Technology,Accessories,1,1394.27,0.1,74.03
142,26-08-2025,Ronald Lopez,Consumer,Brianborough,Massachusetts,South,Office Supplies,Labels,5,1357.52,0.3,193.34
143,14-05-2022,Kelly Williams,Consumer,Sanchezmouth,New Jersey,East,Office Supplies,Pens,8,597.87,0.2,40.79
144,29-06-2024,Steven King,Home Office,West Stephanieside,Louisiana,West,Office Supplies,Pens,1,670.56,0.2,84.31
145,12-06-2025,Laura Brown,Home Office,Edwardsfurt,Minnesota,West,Technology,Copiers,10,166.09,0.2,33.25
146,07-01-2025,Jean Phillips,Corporate,North Kyleberg,Illinois,Central,Technology,Accessories,10,787.32,0,91.49
147,03-08-2021,Darlene Benton,Consumer,South Markport,Minnesota,Central,Furniture,Bookcases,9,413.7,0,39.48
148,31-01-2022,Nicholas Byrd,Consumer,South Kimberlyside,Pennsylvania,West,Office Supplies,Binders,2,877.91,0.2,174.46
149,11-09-2021,Donald Stephenson,Consumer,Cindystad,New York,Central,Technology,Accessories,5,1274.56,0.3,134.52
150,07-09-2021,Brian Jordan,Consumer,Smithchester,Kansas,East,Office Supplies,Binders,2,740.01,0,119.75
151,18-01-2024,Matthew Stein,Corporate,Robertsbury,South Carolina,Central,Furniture,Tables,4,867.69,0.3,112.41
152,23-04-2022,Austin Rowland,Corporate,Lake Susan,Iowa,East,Furniture,Bookcases,5,236.24,0.1,45.96
153,30-10-2024,Christopher Clark,Home Office,East Matthew,Colorado,Central,Technology,Copiers,3,1319.2,0.3,117.92
154,19-10-2023,Cassandra Powell,Consumer,Aaronfurt,Michigan,South,Furniture,Furnishings,4,80.17,0.2,18.49
155,23-11-2021,Mary Dickerson,Consumer,New Jessica,Vermont,East,Office Supplies,Binders,5,1784.04,0,350.35
156,11-02-2022,Taylor Jones,Home Office,Barryport,Virginia,East,Furniture,Bookcases,3,756.27,0.2,127.37
157,30-01-2024,Michael Adams,Home Office,Weissberg,New Hampshire,West,Technology,Copiers,9,1327.02,0.3,227.79
158,19-05-2021,Jeanette Green,Home Office,Stewartland,Minnesota,East,Furniture,Chairs,5,473.79,0,85.31
159,03-04-2021,Jenna Solis,Consumer,West Jeremyburgh,Iowa,Central,Furniture,Tables,10,1981.55,0.1,445.49
160,10-06-2024,Carlos Gutierrez,Home Office,South Matthewburgh,Arizona,West,Furniture,Tables,8,1045.41,0.1,154.67
161,26-06-2024,Elijah Huber,Corporate,Jeanettefort,Oklahoma,Central,Furniture,Bookcases,4,1977.47,0,192.13
162,15-01-2024,Ronald Schultz MD,Home Office,Ramirezborough,Vermont,South,Office Supplies,Paper,9,764.83,0.2,115.06
163,10-07-2021,Brooke Hunter,Corporate,North Deniseton,New York,Central,Furniture,Bookcases,5,1017.77,0.1,241.02
164,26-01-2023,Robert Jones,Home Office,West Elizabethborough,North Carolina,South,Technology,Accessories,10,1429.26,0.1,70.77
165,16-06-2024,Douglas Miller,Home Office,South Alexandertown,Virginia,East,Furniture,Bookcases,9,975.3,0.3,123.71
166,02-03-2025,Christopher Johnson,Consumer,Port Gwendolyn,Connecticut,Central,Technology,Accessories,4,976.14,0,58.1
167,09-04-2025,Martin Ellison,Corporate,Norrisland,Minnesota,East,Furniture,Furnishings,10,1133.71,0.2,99.07
168,04-04-2025,Dr. Eric Whitney,Corporate,Brewerbury,Maine,West,Furniture,Furnishings,10,700.28,0,72.13
169,31-10-2023,Randall Underwood,Home Office,New Stephanie,Kansas,West,Office Supplies,Pens,8,1012.67,0.2,56.47
170,12-01-2022,Kevin Santos,Corporate,Torresstad,Vermont,South,Office Supplies,Paper,10,1512.57,0.1,398
171,18-08-2021,Russell Jackson,Corporate,Jocelynview,Kentucky,East,Technology,Phones,1,906.94,0,216.92
172,19-10-2023,Tiffany Johnson,Corporate,Timothyhaven,Idaho,South,Technology,Copiers,8,394.92,0.2,48.49
173,15-09-2023,Angela Farmer,Consumer,West Ginamouth,Tennessee,West,Technology,Copiers,10,1432.14,0,103.57
174,04-07-2024,Albert Bell,Home Office,Port Christopher,Arkansas,West,Furniture,Chairs,1,605.08,0.2,99.7
175,22-05-2025,Erica Moore,Corporate,South Laurashire,Montana,East,Technology,Phones,6,695.21,0,97.09
176,06-04-2022,Christian Bowman,Corporate,West Branditon,Pennsylvania,Central,Office Supplies,Labels,10,1997.37,0.3,322.5
177,19-03-2022,Michele Nelson,Home Office,Williamsport,Colorado,Central,Technology,Accessories,8,1925.25,0.3,175.19
178,06-08-2023,John Maddox,Corporate,Tammyfurt,Colorado,East,Furniture,Tables,1,218.8,0.1,27.92
179,05-07-2025,Dawn Drake,Consumer,Cynthiamouth,Michigan,East,Furniture,Furnishings,7,1921.23,0,238.28
180,06-06-2024,Nicole Robinson,Corporate,West Robert,Louisiana,East,Office Supplies,Binders,2,95.72,0.2,4.38
181,25-03-2022,Samuel Howell,Consumer,Jimenezville,Vermont,East,Technology,Phones,6,388.07,0.3,41.18
182,15-12-2024,Kimberly Franklin,Home Office,Port Michael,Georgia,South,Technology,Copiers,8,377.49,0.1,19.25
183,21-02-2021,Thomas Mercado,Consumer,Christineport,Alaska,Central,Office Supplies,Labels,2,1846.11,0.1,407.73
184,10-03-2023,Shirley Flynn,Consumer,East Alexisland,Tennessee,South,Technology,Computers,9,1235.79,0.1,186.03
185,25-07-2021,Allison Salas,Consumer,South Alanchester,Minnesota,South,Office Supplies,Binders,10,203.92,0.1,38.98
186,04-01-2023,David Barton,Consumer,West Jean,Louisiana,South,Furniture,Furnishings,8,1970.91,0.2,126.17
187,22-05-2022,Willie Medina,Consumer,Caroltown,West Virginia,West,Office Supplies,Binders,10,300.32,0.3,19.21
188,06-04-2025,Michael Martin,Corporate,Amberstad,Nebraska,West,Furniture,Chairs,7,1175.79,0,101.73
189,23-10-2023,Jacob Mann,Corporate,Johnville,New Mexico,South,Furniture,Tables,2,1726.9,0.3,348.75
190,25-03-2021,Jordan Brooks,Consumer,Davistown,Louisiana,West,Office Supplies,Binders,7,709.81,0.3,126.79
191,23-07-2024,Katherine Holden,Corporate,Brandonside,Georgia,Central,Technology,Phones,7,834.43,0.2,34.13
192,14-07-2023,Jason Cameron,Home Office,East Nathaniel,Maine,South,Office Supplies,Binders,6,69.5,0,18.8
193,24-01-2024,James Sanford,Consumer,Raymondville,Kentucky,Central,Office Supplies,Paper,8,431.16,0,61.91
194,07-12-2023,Brandi Rogers,Consumer,West Gabriel,Alabama,East,Furniture,Chairs,6,1516.69,0.1,230
195,04-12-2022,Jason Kirk,Home Office,Lake Christianburgh,Vermont,South,Office Supplies,Paper,10,1481.09,0,126.53
196,02-10-2023,Jessica Martinez,Consumer,East Diana,Iowa,West,Office Supplies,Binders,10,796.61,0,142.15
197,25-12-2021,William Salinas,Home Office,New Allisonmouth,West Virginia,East,Furniture,Bookcases,10,1528.1,0.1,150.31
198,12-09-2022,Todd Valenzuela,Corporate,East Kennethland,Utah,West,Furniture,Furnishings,3,1954.83,0.1,476.99
199,05-02-2023,Matthew Chapman,Consumer,Brookstown,New Jersey,East,Furniture,Chairs,10,1365.24,0.2,316.04
200,24-04-2025,Brian Yang,Corporate,Fishershire,Tennessee,South,Office Supplies,Paper,2,633.92,0.2,33.45
201,28-10-2022,Amanda Miller,Home Office,East Melissachester,Idaho,East,Technology,Phones,8,137.9,0.3,7.19
202,11-07-2021,Benjamin Brock,Home Office,Kevinport,Colorado,East,Office Supplies,Labels,6,1461.44,0.1,376.76
203,05-07-2024,Hunter Grant,Consumer,Leachbury,Louisiana,South,Furniture,Chairs,2,1036.83,0,57.83
204,15-05-2024,Tracey Perez,Corporate,Gardnermouth,Rhode Island,West,Furniture,Chairs,6,358.48,0.3,54.34
205,31-05-2021,Margaret Carr,Consumer,West Jeffery,Kentucky,East,Office Supplies,Pens,9,1718.74,0.1,399.28
206,07-09-2024,Christopher Parks,Consumer,Richardfurt,Illinois,South,Office Supplies,Paper,4,334.59,0.1,84.17
207,29-07-2021,Daniel Mcgrath,Consumer,Shafferview,Arkansas,East,Office Supplies,Labels,5,1942.45,0,130.7
208,30-12-2020,Jason Johnson,Home Office,Brandonbury,California,East,Office Supplies,Paper,7,1345.67,0.2,148.74
209,21-09-2022,Robert Zimmerman,Consumer,Obrienberg,North Dakota,West,Office Supplies,Paper,5,100.2,0.2,16.37
210,27-01-2022,Maureen Drake,Consumer,Bruceland,Ohio,South,Furniture,Bookcases,3,1397.78,0.3,173.44
211,16-01-2021,Glen Williamson,Home Office,South John,Vermont,South,Technology,Accessories,1,661.83,0,176.94
212,01-04-2021,Tracy Barry,Consumer,Lake Deannamouth,New York,East,Office Supplies,Paper,10,256.65,0.3,30.3
213,30-12-2021,Lori Stanley,Consumer,North Patricia,Pennsylvania,South,Office Supplies,Pens,6,1728.54,0.1,204.93
214,09-06-2023,Jamie George,Consumer,South Johnton,Kentucky,South,Office Supplies,Binders,2,323.08,0.2,73.83
215,04-08-2024,Jamie Thomas,Home Office,Phillipsmouth,Maryland,Central,Technology,Phones,5,1483.01,0,273.54
216,13-01-2023,Amy Wagner,Corporate,East William,Montana,East,Office Supplies,Labels,6,1210.66,0.2,90.22
217,10-04-2023,Thomas Peterson,Corporate,New William,Oregon,Central,Office Supplies,Binders,3,169.19,0.2,36.37
218,19-10-2024,Melanie Osborne,Home Office,Orozcoton,Illinois,East,Furniture,Tables,5,353.04,0.2,45.8
219,01-04-2021,Timothy Hansen,Home Office,Andrewside,Wisconsin,East,Office Supplies,Pens,5,1268.99,0.3,160.39
220,09-04-2022,Michael Walters,Corporate,New Vanessaburgh,Illinois,West,Technology,Copiers,10,680.76,0.2,139.02
221,27-08-2025,Nathan Jones,Consumer,New Ronald,Florida,East,Furniture,Tables,4,916.62,0.2,179.93
222,22-02-2023,Richard Elliott,Home Office,New Samanthaton,Arizona,Central,Furniture,Chairs,4,985.93,0.2,100.41
223,31-01-2023,Paul Ford PhD,Consumer,West Paul,Oregon,Central,Office Supplies,Paper,3,894.48,0.2,130.01
224,14-05-2021,Dustin Collins,Home Office,West Joestad,New Hampshire,South,Furniture,Bookcases,9,309.74,0,68.57
225,10-07-2022,Kelly Edwards,Consumer,Thompsonborough,Tennessee,South,Office Supplies,Paper,8,1830.99,0.1,333.35
226,13-07-2023,Terry Lawrence,Corporate,North Trevorshire,New York,Central,Technology,Phones,2,152.23,0.2,19.73
227,13-02-2024,Jeffery Weeks,Consumer,South Lori,South Carolina,South,Office Supplies,Paper,1,1082.52,0,306.99
228,28-03-2021,Terri Perez,Corporate,Davisville,Georgia,South,Technology,Phones,8,671.17,0.2,63.1
